anio;semana;precipitacion;temp. Max;temp. Min;humedad 
2020;19;0;32.6;21.8;77.5
2020;20;0;31.6;21.2;78.9
2020;21;0;32;19.8;78.3
2020;22;0;30.8;19.6;83.6
2020;23;0;30;20.6;81.9
2020;24;0;28.7;19.3;79.5
2020;25;0;29.4;18.2;80
2020;26;0;29.4;17.6;80.3
2020;27;0;28.6;17.5;79.7
2020;28;0;29.2;17.5;81.7
2020;29;0;27.8;16.6;80.4
2020;30;0;28.8;17.4;77.1
2020;31;0;28.2;16.4;78.4
2020;32;0;29.8;16.6;78.6
2020;33;0;28.4;16.8;77.7
2020;34;0;28.6;16.8;84.6
2020;35;0;28.8;16.8;80.4
2020;36;0;28.8;16.9;82.1
2020;37;0;29.2;16.6;77.3
2020;38;0;31.2;16.4;75.3
2020;39;0;31.4;17.2;75.6
2020;40;0;31.6;17.6;76.3
2020;41;0;33.2;17.4;75.8
2020;42;0;31.6;17.9;72.9
2020;43;0;31.5;18;71.3
2020;44;0;30.6;17.9;77.4
2020;45;0;30.2;18;74.4
2020;46;0;30.7;18.4;73.5
2020;47;0;30.5;18.8;73.5
2020;48;0;31.6;18.2;77.2
2020;49;0;32.8;20;74.8
2020;50;1;32;20.2;87.3
2020;51;0;32.5;20.4;72.6
2020;52;0;33.4;20.6;72.5
2020;53;0;32.6;22;74.9
2021;1;0;33.4;20;68.5
2021;2;0;34.2;22.4;72.7
2021;3;0;34;21.6;72.9
2021;4;0;34.4;21.6;68.5
2021;5;0;34.8;22.8;71.1
2021;6;0;34;23.2;68.4
2021;7;0;36;24.7;71.1
2021;8;0;35.6;23.3;70.4
2021;9;0;36.4;22.2;65.4
2021;10;0;35.8;24.7;72.3
2021;11;0;36;23.5;93.6
2021;12;0;34.8;23.8;76.4
2021;13;0;33.8;22.6;70.8
2021;14;0;34.6;21.7;68.2
2021;15;0;33.8;22.9;71.3
2021;16;0;32.5;20.4;82.4
2021;17;0;33.4;20.6;77.1
2021;18;0;31.6;20.8;74.5
2021;19;0;32.3;21;79.8
2021;20;0;30;19.2;78.4
2021;21;0;29.6;19;82
2021;22;0;30;19.4;83.1
2021;23;0;28.6;19.4;84.6
2021;24;0;28.5;19.4;87
2021;25;0;29.6;19.4;79.4
2021;26;0;28.2;19.1;83.3
2021;27;0;28;18.8;79.2
2021;28;0;28;19;81
2021;29;0;29.2;19.2;82
2021;30;0;29.4;19;81.7
2021;31;0;28.4;19.4;81.9
2021;32;0;28;18;80.9
2021;33;0;30.6;18.5;77.4
2021;34;0;29;18.3;78.4
2021;35;0;29.8;17.4;80.1
2021;36;0;30.2;17.2;76.8
